File,Algo,INP_SNR,OUT_SNR,SNR_Improv,SegSNR_In,SegSNR_Out,SegSNR_Improv,STOI_In,STOI_Out,STOI_Improv,MOS_S_In,MOS_S_Out,MOS_S_Improv,MOS_A_In,MOS_A_Out,MOS_A_Improv
Horn_honk_-4.94dB,RWPV,-6.041223,-2.243303,3.797920,7.474645,4.835613,-2.639032,0.685804,0.669494,-0.016310,3.475088,3.307344,-0.167743,3.315485,3.372407,0.056922
Horn_honk_-4.94dB,RSPV,-6.041223,-2.262063,3.779160,7.474645,5.010613,-2.464031,0.685804,0.674438,-0.011366,3.475088,3.367627,-0.107461,3.315485,3.387818,0.072333
Interior Off_4.64dB,RWPV,3.539693,11.246623,7.706930,-0.089922,5.375751,5.465673,0.863797,0.856361,-0.007436,4.325976,4.282294,-0.043682,4.283886,4.153494,-0.130392
Interior Off_4.64dB,RSPV,3.539693,11.159404,7.619711,-0.089922,5.454519,5.544441,0.863797,0.862053,-0.001744,4.325976,4.321034,-0.004942,4.283886,4.216466,-0.067420
Open Window_7.42dB,RWPV,6.317176,10.971642,4.654466,2.866058,5.851006,2.984948,0.773761,0.792631,0.018870,3.781029,3.896954,0.115924,3.923692,4.086838,0.163146
Open Window_7.42dB,RSPV,6.317176,11.075981,4.758804,2.866058,6.114331,3.248273,0.773761,0.799366,0.025605,3.781029,3.923847,0.142818,3.923692,4.119803,0.196111
Parisian Crossing_-0.1dB,RWPV,-1.192810,5.730931,6.923741,-4.505454,0.494632,5.000085,0.634987,0.672049,0.037062,2.626323,2.985619,0.359296,3.547171,3.825278,0.278107
Parisian Crossing_-0.1dB,RSPV,-1.192810,5.663796,6.856606,-4.505454,0.838362,5.343816,0.634987,0.674611,0.039624,2.626323,3.004317,0.377994,3.547171,3.850362,0.303191
Rain on Windshield_7.34dB,RWPV,6.240187,10.142563,3.902376,-0.338214,4.318032,4.656245,0.676258,0.701751,0.025492,3.173726,3.419427,0.245701,3.596268,3.846456,0.250188
Rain on Windshield_7.34dB,RSPV,6.240187,10.247437,4.007251,-0.338214,4.533570,4.871784,0.676258,0.703556,0.027298,3.173726,3.439249,0.265522,3.596268,3.869646,0.273378
Ring Road_-0.48dB,RWPV,-1.577365,6.314664,7.892029,-4.723962,0.626288,5.350249,0.618578,0.654634,0.036056,2.486126,2.926835,0.440709,3.273903,3.706771,0.432868
Ring Road_-0.48dB,RSPV,-1.577365,6.344773,7.922138,-4.723962,1.016415,5.740376,0.618578,0.654038,0.035460,2.486126,2.940152,0.454027,3.273903,3.735578,0.461675
Square Fountain_-0.12dB,RWPV,-1.219831,6.586144,7.805976,-4.690537,1.022197,5.712734,0.668006,0.700182,0.032176,2.837582,3.225904,0.388322,3.339078,3.750343,0.411265
Square Fountain_-0.12dB,RSPV,-1.219831,6.607288,7.827119,-4.690537,1.446582,6.137119,0.668006,0.702261,0.034255,2.837582,3.244068,0.406486,3.339078,3.794480,0.455402
Storm and Rain_-0.03dB,RWPV,-1.042688,9.420685,10.463373,1.451474,5.069807,3.618332,0.709929,0.722726,0.012797,3.520482,3.659191,0.138709,3.496800,3.933404,0.436604
Storm and Rain_-0.03dB,RSPV,-1.042688,8.252651,9.295339,1.451474,5.170880,3.719406,0.709929,0.725302,0.015373,3.520482,3.682333,0.161851,3.496800,3.953298,0.456498
Underground parking_-1.5dB,RWPV,-2.599246,5.276782,7.876029,-5.117898,0.219899,5.337798,0.561815,0.606092,0.044277,2.287027,2.706335,0.419309,3.240142,3.736056,0.495914
Underground parking_-1.5dB,RSPV,-2.599246,5.221260,7.820507,-5.117898,0.733955,5.851853,0.561815,0.605677,0.043862,2.287027,2.723113,0.436086,3.240142,3.746185,0.506042
Wind_-3.53dB,RWPV,-4.629808,4.395412,9.025221,-5.258599,-0.426278,4.832321,0.652555,0.690725,0.038170,2.697645,3.105041,0.407395,3.330963,3.776368,0.445405
Wind_-3.53dB,RSPV,-4.629808,4.362103,8.991911,-5.258599,-0.131542,5.127056,0.652555,0.689364,0.036809,2.697645,3.114230,0.416585,3.330963,3.783011,0.452048
accleration_-0.99dB,RWPV,-2.089812,5.665353,7.755165,0.370363,3.437088,3.066724,0.699928,0.714713,0.014785,3.190881,3.317182,0.126300,3.519283,3.819614,0.300330
accleration_-0.99dB,RSPV,-2.089812,5.552550,7.642362,0.370363,3.517446,3.147083,0.699928,0.714241,0.014313,3.190881,3.349207,0.158326,3.519283,3.858265,0.338982
arrival stop_0.23dB,RWPV,-0.869811,7.156417,8.026228,1.082093,3.598505,2.516412,0.696712,0.718604,0.021892,2.999342,3.255322,0.255981,3.572629,3.844916,0.272287
arrival stop_0.23dB,RSPV,-0.869811,7.061200,7.931011,1.082093,3.698134,2.616041,0.696712,0.717031,0.020319,2.999342,3.277632,0.278290,3.572629,3.870422,0.297793
car passing 90_0.14dB,RWPV,0.140001,8.697393,8.557391,13.217485,8.025638,-5.191848,0.809970,0.815543,0.005573,3.802739,3.843758,0.041020,3.869332,4.084845,0.215513
car passing 90_0.14dB,RSPV,0.140001,8.432870,8.292869,13.217485,8.047886,-5.169599,0.809970,0.816261,0.006291,3.802739,3.876445,0.073706,3.869332,4.127979,0.258646
door slam_-3.19dB,RWPV,-4.288418,4.653904,8.942322,9.266612,6.470769,-2.795843,0.852927,0.848049,-0.004877,4.354776,4.228851,-0.125926,3.684934,3.907628,0.222693
door slam_-3.19dB,RSPV,-4.288418,4.383934,8.672352,9.266612,6.549364,-2.717247,0.852927,0.850364,-0.002563,4.354776,4.313346,-0.041431,3.684934,3.962403,0.277468
highway_-6.62dB,RWPV,-7.719808,4.075538,11.795346,-7.459859,-1.318711,6.141148,0.619530,0.661460,0.041930,2.569653,3.035764,0.466111,3.464666,3.887206,0.422540
highway_-6.62dB,RSPV,-7.719808,4.248017,11.967824,-7.459859,-0.594822,6.865037,0.619530,0.663822,0.044292,2.569653,3.039310,0.469657,3.464666,3.896935,0.432269
interior 80_-6.44dB,RWPV,-6.440001,4.486667,10.926669,-6.938102,-1.295990,5.642112,0.679183,0.703503,0.024320,2.884330,3.205898,0.321568,3.572705,3.993020,0.420314
interior 80_-6.44dB,RSPV,-6.440001,4.762627,11.202628,-6.938102,-0.533122,6.404979,0.679183,0.705901,0.026718,2.884330,3.219735,0.335405,3.572705,4.015794,0.443088
road bump_4.95dB,RWPV,1.846269,7.507359,5.661090,-1.481712,2.434576,3.916288,0.681029,0.719842,0.038813,3.091714,3.323255,0.231541,3.777564,3.986910,0.209346
road bump_4.95dB,RSPV,1.846269,7.168204,5.321935,-1.481712,1.878367,3.360079,0.681029,0.713836,0.032807,3.091714,3.319015,0.227301,3.777564,3.982144,0.204580
rough surfaces_-2.31dB,RWPV,-1.042115,4.029052,5.071167,-2.682217,1.155793,3.838011,0.600069,0.629306,0.029237,2.353947,2.722363,0.368416,3.273670,3.595171,0.321501
rough surfaces_-2.31dB,RSPV,-1.042115,3.935155,4.977270,-2.682217,1.091554,3.773771,0.600069,0.627297,0.027228,2.353947,2.725456,0.371509,3.273670,3.595397,0.321727
under highway bridge_-3.56dB,RWPV,-4.659812,4.541286,9.201099,-6.130310,-0.550433,5.579877,0.596469,0.641325,0.044857,2.375798,2.916057,0.540259,3.552558,3.883989,0.331431
under highway bridge_-3.56dB,RSPV,-4.659812,4.568478,9.228290,-6.130310,-0.223841,5.906469,0.596469,0.644989,0.048520,2.375798,2.944274,0.568476,3.552558,3.878652,0.326094
